2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;
2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;
2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;2129;
2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;2103;
2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;
2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;
2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;
2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;2079;
2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;
2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;
2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;
1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;
1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;1966;
